date,load
,MW
2017-06-05,1878380
2017-06-06,1813061
2017-06-07,1802943
2017-06-08,1828336
2017-06-09,1871260
2017-06-10,1867648
2017-06-11,1911533
2017-06-12,2172792
2017-06-13,2200246
2017-06-14,2175516
2017-06-15,2138868
2017-06-16,2102505
2017-06-17,1931343
2017-06-18,1796423
2017-06-19,1898942
2017-06-20,1885888
2017-06-21,1936732
2017-06-22,2042945
2017-06-23,1965583
2017-06-24,1694949
2017-06-25,1588442
2017-06-26,1736747
2017-06-27,1781273
2017-06-28,1861897
2017-06-29,1971953
2017-06-30,2001684
2017-07-01,1840491
2017-07-02,1809128
2017-07-03,1934697
2017-07-04,1874386
2017-07-05,2080427
2017-07-06,2177508
2017-07-07,2138096
2017-07-08,1880958
2017-07-09,1874751
2017-07-10,2091944
2017-07-11,2172721
2017-07-12,2212042
2017-07-13,2153806
2017-07-14,2025823
2017-07-15,1907720
2017-07-16,1910858
2017-07-17,2105205
2017-07-18,2203102
2017-07-19,2284026
2017-07-20,2342488
2017-07-21,2319164
2017-07-22,2148156
2017-07-23,1985225
2017-07-24,2040232
2017-07-25,2084941
2017-07-26,2185079
2017-07-27,2190737
2017-07-28,2092363
2017-07-29,1873544
2017-07-30,1853174
2017-07-31,2088129
2017-08-01,2127325
2017-08-02,2086334
2017-08-03,2020299
2017-08-04,1844304
2017-08-05,1692554
2017-08-06,1662905
2017-08-07,1874816
2017-08-08,1930239
2017-08-09,1950820
2017-08-10,2004157
2017-08-11,1967844
2017-08-12,1785438
2017-08-13,1737015
2017-08-14,1981717
2017-08-15,2049432
2017-08-16,2084867
2017-08-17,2108707
2017-08-18,2038818
2017-08-19,1951893
2017-08-20,1955137
2017-08-21,2153892
2017-08-22,2054424
2017-08-23,1909624
2017-08-24,1860968
2017-08-25,1800766
2017-08-26,1700492
2017-08-27,1676649
2017-08-28,1821489
2017-08-29,1844966
2017-08-30,1882755
2017-08-31,1822732
2017-09-01,1715947
2017-09-02,1583963
2017-09-03,1632494
2017-09-04,1722688
2017-09-05,1751715
2017-09-06,1660422
2017-09-07,1640827
2017-09-08,1658498
2017-09-09,1572166
2017-09-10,1551453
2017-09-11,1702268
2017-09-12,1732130
2017-09-13,1780671
2017-09-14,1867248
2017-09-15,1922978
2017-09-16,1835946
2017-09-17,1758614
2017-09-18,1877185
2017-09-19,1917104
2017-09-20,2036977
2017-09-21,2099058
2017-09-22,2170258
2017-09-23,2030249
2017-09-24,1948316
2017-09-25,2050646
2017-09-26,2033188
2017-09-27,1876742
2017-09-28,1766588
2017-09-29,1710488
2017-09-30,1559136
2017-10-01,1532700
2017-10-02,1735134
2017-10-03,1828429
2017-10-04,1807056
2017-10-05,1761731
2017-10-06,1746771
2017-10-07,1659381
2017-10-08,1602783
2017-10-09,1796766
2017-10-10,1776135
2017-10-11,1693905
2017-10-12,1696842
2017-10-13,1697712
2017-10-14,1651422
2017-10-15,1569490
2017-10-16,1613440
2017-10-17,1619844
2017-10-18,1624569
2017-10-19,1643406
2017-10-20,1634348
2017-10-21,1569830
2017-10-22,1493170
2017-10-23,1616474
2017-10-24,1638884
2017-10-25,1647679
2017-10-26,1664647
2017-10-27,1673430
2017-10-28,1602280
2017-10-29,1583771
2017-10-30,1726759
2017-10-31,1741155
2017-11-01,1743401
2017-11-02,1721929
2017-11-03,1702968
2017-11-04,1596652
2017-11-05,1619156
2017-11-06,1742241
2017-11-07,1768302
2017-11-08,1748954
2017-11-09,1777133
2017-11-10,1815898
2017-11-11,1673574
2017-11-12,1594047
2017-11-13,1736073
2017-11-14,1734605
2017-11-15,1726514
2017-11-16,1773013
2017-11-17,1748488
2017-11-18,1609313
2017-11-19,1625593
2017-11-20,1780232
2017-11-21,1774976
2017-11-22,1794179
2017-11-23,1567657
2017-11-24,1537921
2017-11-25,1507846
2017-11-26,1549985
2017-11-27,1709389
2017-11-28,1697164
2017-11-29,1702330
2017-11-30,1697632
2017-12-01,1705293
2017-12-02,1580835
2017-12-03,1555025
2017-12-04,1680544
2017-12-05,1773751
2017-12-06,1875888
2017-12-07,1953541
2017-12-08,1984304
2017-12-09,1860816
2017-12-10,1774616
2017-12-11,1858507
2017-12-12,1895280
2017-12-13,1935576
2017-12-14,1906163
2017-12-15,1906492
2017-12-16,1752641
2017-12-17,1657940
2017-12-18,1759430
2017-12-19,1757321
2017-12-20,1792009
2017-12-21,1795710
2017-12-22,1746030
2017-12-23,1675998
2017-12-24,1678802
2017-12-25,1735065
2017-12-26,1924723
2017-12-27,2107641
2017-12-28,2116017
2017-12-29,2001366
2017-12-30,1923871
2017-12-31,2008649
2018-01-01,2184383
2018-01-02,2344164
2018-01-03,2269020
2018-01-04,2237339
2018-01-05,2196295
2018-01-06,2115109
2018-01-07,1931459
2018-01-08,1870425
2018-01-09,1866120
2018-01-10,1803762
2018-01-11,1779257
2018-01-12,2060407
2018-01-13,2056166
2018-01-14,2047423
2018-01-15,2141952
2018-01-16,2262831
2018-01-17,2282462
2018-01-18,2144708
2018-01-19,1947976
2018-01-20,1683953
2018-01-21,1569833
2018-01-22,1707163
2018-01-23,1836098
2018-01-24,1900103
2018-01-25,1880481
2018-01-26,1769616
2018-01-27,1610206
2018-01-28,1625260
2018-01-29,1891656
2018-01-30,1981217
2018-01-31,1875100
2018-02-01,1877604
2018-02-02,1984905
2018-02-03,1862079
2018-02-04,1752013
2018-02-05,1976493
2018-02-06,1939169
2018-02-07,1956719
2018-02-08,1974149
2018-02-09,1861887
2018-02-10,1760659
2018-02-11,1777858
2018-02-12,1972096
2018-02-13,1908395
2018-02-14,1759558
2018-02-15,1704893
2018-02-16,1755590
2018-02-17,1698649
2018-02-18,1629678
2018-02-19,1724364
2018-02-20,1734617
2018-02-21,1816389
2018-02-22,1828637
2018-02-23,1736383
2018-02-24,1650016
2018-02-25,1582976
2018-02-26,1704443
2018-02-27,1685904
2018-02-28,1675203
2018-03-01,1699992
2018-03-02,1685429
2018-03-03,1570445
2018-03-04,1541608
2018-03-05,1731046
2018-03-06,1740380
2018-03-07,1786254
2018-03-08,1816297
2018-03-09,1756648
2018-03-10,1600823
2018-03-11,1506956
2018-03-12,1734824
2018-03-13,1769155
2018-03-14,1748445
2018-03-15,1703796
2018-03-16,1697311
2018-03-17,1576712
2018-03-18,1538644
2018-03-19,1692154
2018-03-20,1728782
2018-03-21,1720144
2018-03-22,1710349
2018-03-23,1682171
2018-03-24,1612330
2018-03-25,1581927
2018-03-26,1714067
2018-03-27,1687909
2018-03-28,1670368
2018-03-29,1649336
2018-03-30,1567836
2018-03-31,1534221
2018-04-01,1516323
2018-04-02,1731718
2018-04-03,1746135
2018-04-04,1750106
2018-04-05,1719227
2018-04-06,1713441
2018-04-07,1647404
2018-04-08,1626275
2018-04-09,1708552
2018-04-10,1693542
2018-04-11,1651519
2018-04-12,1626102
2018-04-13,1647204
2018-04-14,1557959
2018-04-15,1561767
2018-04-16,1734158
2018-04-17,1701272
2018-04-18,1685570
2018-04-19,1656203
2018-04-20,1612743
2018-04-21,1488615
2018-04-22,1450606
2018-04-23,1590819
2018-04-24,1611271
2018-04-25,1614233
2018-04-26,1598014
2018-04-27,1567253
2018-04-28,1467593
2018-04-29,1449197
2018-04-30,1613360
2018-05-01,1656373
2018-05-02,1747430
2018-05-03,1733579
2018-05-04,1678840
2018-05-05,1525382
2018-05-06,1506515
2018-05-07,1685653
2018-05-08,1740728
2018-05-09,1750494
2018-05-10,1754510
2018-05-11,1741453
2018-05-12,1632800
2018-05-13,1623068
2018-05-14,1852639
2018-05-15,1844261
2018-05-16,1850988
2018-05-17,1853778
2018-05-18,1778488
2018-05-19,1679577
2018-05-20,1627581
2018-05-21,1763377
2018-05-22,1835635
2018-05-23,1891664
2018-05-24,1962679
2018-05-25,1969479
2018-05-26,1866447
2018-05-27,1917618
2018-05-28,2011582
2018-05-29,2145469
2018-05-30,2107516
2018-05-31,2144588
2018-06-01,2093379
2018-06-02,1827293
2018-06-03,1714787
2018-06-04,1834654
2018-06-05,1869414
2018-06-06,1884872
2018-06-07,2010189
2018-06-08,2009050
2018-06-09,1839443
2018-06-10,1751774
2018-06-11,1928952
2018-06-12,1997966
2018-06-13,2029998
2018-06-14,1997266
2018-06-15,2089291
2018-06-16,2079747
2018-06-17,2149169
2018-06-18,2277870
2018-06-19,2090875
2018-06-20,2019404
2018-06-21,1959977
2018-06-22,1902735
2018-06-23,1826329
2018-06-24,1840962
2018-06-25,1991741
2018-06-26,2003647
2018-06-27,2091238
2018-06-28,2228245
2018-06-29,2335723
2018-06-30,2277579
2018-07-01,2116487
2018-07-02,2189747
2018-07-03,2169049
2018-07-04,2117972
2018-07-05,2221560
2018-07-06,2022113
2018-07-07,1813361
2018-07-08,1859463
2018-07-09,2169772
2018-07-10,2240238
2018-07-11,2190476
2018-07-12,2203757
2018-07-13,2242121
2018-07-14,2121043
2018-07-15,2113268
2018-07-16,2260966
2018-07-17,2130557
2018-07-18,2059277
2018-07-19,2078146
2018-07-20,2096683
2018-07-21,1919434
2018-07-22,1852983
2018-07-23,2039691
2018-07-24,2109171
2018-07-25,2121194
2018-07-26,2036991
2018-07-27,1937045
2018-07-28,1803135
